step,time,projection_residual,alpha_norm,projected_drift_rms,basis_seconds,solve_seconds,update_seconds
0,0.0,0.038783084601163864,149.50218200683594,0.6458138823509216,0.49059320900050807,0.0053967080002621515,0.0009659999996074475
1,0.01,0.044024910777807236,157.8217010498047,0.6319414377212524,0.006480000000010477,0.003059833001316292,3.091699909418821e-05
2,0.02,0.05051960051059723,160.70506286621094,0.6182309985160828,0.006139709001217852,0.0033935829997062683,3.79169996449491e-05
3,0.03,0.05756743997335434,157.47454833984375,0.6046329140663147,0.00578874999882828,0.0029975410016049864,3.5999999454361387e-05
4,0.04,0.07061491906642914,148.3348388671875,0.5908885598182678,0.006321999999272521,0.003226125001674518,3.658299829112366e-05
5,0.05,0.07804080843925476,140.73025512695312,0.5775443315505981,0.005805666000014753,0.0032082499983516755,3.5000000934815034e-05
6,0.06,0.08577951043844223,134.1175994873047,0.5642908811569214,0.006131665999419056,0.0030225000009522773,2.9499999072868377e-05
7,0.07,0.09382075816392899,128.89431762695312,0.5511428117752075,0.0054885829995328095,0.003342750000228989,3.641700095613487e-05
8,0.08,0.1021261215209961,124.9316635131836,0.5381232500076294,0.0072701249991951045,0.003162834000249859,3.554099930624943e-05
9,0.09,0.11064007133245468,121.96168518066406,0.5252453088760376,0.006191333999595372,0.0033615409993217327,3.4500000765547156e-05
10,0.1,0.11930273473262787,119.7334976196289,0.512525200843811,0.005647042000418878,0.0030170409991114866,3.5667000702233054e-05
11,0.11,0.1280526965856552,118.05581665039062,0.4999828338623047,0.005557959000725532,0.003312708000521525,2.725000013015233e-05
12,0.12,0.13826408982276917,115.73162078857422,0.4875316619873047,0.005489875000421307,0.003349291000631638,4.57499991171062e-05
13,0.13,0.14731262624263763,114.5788345336914,0.475386381149292,0.006555291000040597,0.0030699170001753373,3.362499955983367e-05
14,0.14,0.1564618945121765,113.62186431884766,0.46345460414886475,0.0059521250004763715,0.0031288329992094077,3.0082999728620052e-05
15,0.15,0.1657082736492157,112.7939682006836,0.45174241065979004,0.006001375000778353,0.003095209000093746,3.2500000088475645e-05
16,0.16,0.17503990232944489,112.04524993896484,0.4402594566345215,0.006468666999353445,0.0033715420013322728,3.341599949635565e-05
17,0.17,0.18445584177970886,111.34475708007812,0.42901411652565,0.0057272920003015315,0.0029855829998268746,3.095899955951609e-05
18,0.18,0.1796409785747528,121.170166015625,0.4191620349884033,0.005552667000301881,0.003335542000058922,3.308300074422732e-05
19,0.19,0.18529336154460907,121.77007293701172,0.40845775604248047,0.005223207999733859,0.003186249999998836,2.933400173787959e-05
20,0.2,0.19052903354167938,122.33416748046875,0.398001104593277,0.005988666998746339,0.00318650000008347,3.279200063843746e-05
21,0.21,0.19541701674461365,122.81127166748047,0.38779205083847046,0.005436207999082399,0.003220709000743227,3.262499922129791e-05
22,0.22,0.20001813769340515,123.17063903808594,0.37782302498817444,0.00593391700022039,0.003111665999313118,3.01670006592758e-05
23,0.23,0.2043769210577011,123.40208435058594,0.36809656023979187,0.0054359999994630925,0.0031092499993974343,2.8541000574477948e-05
24,0.24,0.20853683352470398,123.50184631347656,0.35860708355903625,0.006960459000765695,0.0030977080004959134,3.4374999813735485e-05
25,0.25,0.2125200480222702,123.48772430419922,0.3493611514568329,0.00605054200059385,0.0036233749997336417,3.670799924293533e-05
26,0.26,0.2163480520248413,123.37818908691406,0.34035202860832214,0.00575458300045284,0.0030085840007814113,3.183299850206822e-05
27,0.27,0.22004099190235138,123.18524169921875,0.3315780758857727,0.005533416000616853,0.0030399589995795395,3.2500000088475645e-05
28,0.28,0.22361621260643005,122.92236328125,0.32303476333618164,0.00526062499920954,0.003027834000022267,3.24159991578199e-05
29,0.29,0.22711464762687683,122.58111572265625,0.31471875309944153,0.005625833999147289,0.0032400000000052387,3.1000001399661414e-05
30,0.3,0.23053880035877228,122.18480682373047,0.3066233694553375,0.005306832999849576,0.003261124998971354,3.1167000997811556e-05
31,0.31,0.2339015156030655,121.75005340576172,0.29875046014785767,0.005852207999851089,0.003113750000920845,3.8374999348889105e-05
32,0.32,0.23722103238105774,121.2787094116211,0.29109323024749756,0.0054196250002860324,0.003198917000190704,2.887499977077823e-05
33,0.33,0.2405259907245636,120.7708969116211,0.2836402356624603,0.005674625001120148,0.003034542000023066,2.4166000002878718e-05
34,0.34,0.24382247030735016,120.23690032958984,0.2763945460319519,0.005556457999773556,0.003098917000897927,3.283299884060398e-05
35,0.35000000000000003,0.24712374806404114,119.68365478515625,0.26934996247291565,0.005658750000293367,0.003034957999261678,2.9667000490007922e-05
36,0.36,0.25044459104537964,119.11307525634766,0.26249879598617554,0.005540041000131168,0.0030362920006155036,2.725000013015233e-05
37,0.37,0.25379759073257446,118.5278091430664,0.25583598017692566,0.005463875000714324,0.0030139160007820465,2.9749999157502316e-05
38,0.38,0.2571941316127777,117.93312072753906,0.24936188757419586,0.00561800000104995,0.003044332999706967,8.32919995445991e-05
39,0.39,0.2606499195098877,117.326416015625,0.24306446313858032,0.006032999999661115,0.003025709000212373,3.179099985572975e-05
40,0.4,0.26417630910873413,116.7071762084961,0.23694676160812378,0.005732375000661705,0.003160041000228375,3.312499939056579e-05
41,0.41000000000000003,0.26778367161750793,116.08265686035156,0.2309950590133667,0.0049176249995070975,0.003026915999726043,2.9625000024680048e-05
42,0.42,0.27147531509399414,115.4548110961914,0.2252127081155777,0.005229207999946084,0.0031565830013278173,3.191699943272397e-05
43,0.43,0.27526530623435974,114.82354736328125,0.21959245204925537,0.005441540999527206,0.0030047920008655638,3.220799953851383e-05
44,0.44,0.279155433177948,114.19233703613281,0.21413488686084747,0.006240124999749241,0.0033007090005412465,3.262499922129791e-05
45,0.45,0.2831540107727051,113.56127166748047,0.20882920920848846,0.005661458999384195,0.0031930410004861187,3.229200046916958e-05
46,0.46,0.28726688027381897,112.93083953857422,0.20367193222045898,0.00617574999887438,0.0030791660010436317,2.8000000384054147e-05
47,0.47000000000000003,0.2914980351924896,112.30167388916016,0.19866430759429932,0.005458833000375307,0.0032138749993464444,3.429200114624109e-05
48,0.48,0.295847088098526,111.67698669433594,0.19379980862140656,0.006128791999799432,0.0031381249991682125,2.829100048984401e-05
49,0.49,0.3003213405609131,111.05364227294922,0.1890774369239807,0.0053800420009793015,0.0029852919997210847,2.9415999961202033e-05
50,0.5,0.38461965322494507,83.67174530029297,0.17880946397781372,0.006363042000884889,0.0031094999994820682,3.1583000236423686e-05
51,0.51,0.3123984634876251,110.0838623046875,0.18074853718280792,0.00557012500030396,0.0035505409996403614,3.29590002365876e-05
52,0.52,0.31724813580513,109.42754364013672,0.1763828992843628,0.005313416000717552,0.0030396250003832392,3.074999949603807e-05
53,0.53,0.32222434878349304,108.78218841552734,0.17214621603488922,0.005982832999507082,0.0035991250006190967,3.537500015227124e-05
54,0.54,0.41530919075012207,80.71785736083984,0.1617649793624878,0.005489208999279072,0.003052875001230859,3.487499998300336e-05
55,0.55,0.33567142486572266,107.7124252319336,0.16477034986019135,0.0064491659995837836,0.003040083998712362,3.0750001315027475e-05
56,0.56,0.3409816324710846,107.06498718261719,0.16085699200630188,0.005545791998883942,0.003153540999846882,2.9667000490007922e-05
